title,url,time,source,file_type,file_type_2
新疆少数民族特困学生补助申请表,https://stuhome.ustc.edu.cn/_upload/article/files/f6/96/fd432c8248cca0bec36e222f3ced/1b916387-f18f-44ce-8baa-4242eefa5e79.doc,2019-05-16,学工在线,,
国防教育知识培训课件,https://stuhome.ustc.edu.cn/2019/0516/c2310a380777/page.htm,2019-05-16,学工在线,,
中国科学技术大学本科生学籍登记表,https://stuhome.ustc.edu.cn/_upload/article/files/95/f7/41bf637446b683d89611b8a1b56a/616faa4c-ac1c-4e22-8822-15597a83b002.doc,2019-05-16,学工在线,,
毕业生证明,https://stuhome.ustc.edu.cn/_upload/article/files/38/55/e7152c864e2a86f5856fd672f50f/7b528cc0-cf3d-47ed-b65b-4b9e677d8cfc.docx,2019-05-16,学工在线,,
关于设立中国科学技术大学2019届毕业班级校友联络人的通知及表格,https://stuhome.ustc.edu.cn/_redirect?siteId=47&columnId=2310&articleId=380187,2019-05-07,学工在线,,
中国科学技术大学本科生退租返校居住审批表,https://stuhome.ustc.edu.cn/_upload/article/files/45/7d/8613e4ff4d6eab9c00c0cc5840df/360ee779-f8e4-4699-9f3f-6d9cbebab037.doc,2018-09-11,学工在线,,
基层就业资助申请材料,https://stuhome.ustc.edu.cn/_upload/article/files/0c/82/e3716aac4ffaa6b99c394ee43e1e/e66d5014-a034-4fc1-a746-045eabc045f5.rar,2018-06-08,学工在线,,
班级主题活动项目申报表,https://stuhome.ustc.edu.cn/_upload/article/files/97/80/528cb29c413f9500a315628f7c79/fe44fe51-7fa1-4029-97ef-696c6381390d.doc,2018-06-04,学工在线,,
贷款展期贴息申请书,https://stuhome.ustc.edu.cn/_upload/article/files/46/e4/77f0ac0749e492c3b0e65360934a/197fde0a-12db-4b63-9ca8-c600120c1154.doc,2018-05-29,学工在线,,
贷款展期贴息申请填写说明,https://stuhome.ustc.edu.cn/_upload/article/files/ba/4c/fab74622410fa18f5b9c43ea28f8/732cb1c7-82ea-4001-9088-80762c444c35.doc,2018-05-29,学工在线,,
还款协议填写说明,https://stuhome.ustc.edu.cn/_upload/article/files/43/9a/df153a284ee692c11910e8dd2dcc/66f6d4f8-2db4-4099-9a6e-4377cf400d49.doc,2018-05-29,学工在线,,
助学贷款还款协议,https://stuhome.ustc.edu.cn/_upload/article/files/89/d2/537a3be1471eae9077e65292428d/137cee8e-aeb4-4310-bda2-98e40e8a9920.doc,2018-05-29,学工在线,,
关于暑假学生离校、返校情况统计报送的通知及附件表格,https://stuhome.ustc.edu.cn/_upload/article/files/e8/f2/282fc17441eeaa5ad6aa879892eb/dfd37038-9bf3-402b-94b9-995cb9f4429a.rar,2016-07-05,学工在线,,
寒假学生安全教育相关通知及附件,https://stuhome.ustc.edu.cn/_upload/article/files/e4/19/c6fba1c54915894b5c494ba529bc/9ee07364-ee86-4788-98b8-59a9e3862f2d.rar,2016-01-05,学工在线,,
勤工助学报酬发放申报表,https://stuhome.ustc.edu.cn/_upload/article/files/fb/30/1d19d9304bdfa1694c79809072c8/3be39acc-f722-44a9-9863-367e1b3aa889.xls,2015-07-02,学工在线,,
基层就业学费和贷款代偿申请表,https://stuhome.ustc.edu.cn/_upload/article/files/9a/21/7366d8154163b051594b5fc96eba/c9c33d37-ca58-4deb-9bd6-0279466c3323.doc,2015-07-02,学工在线,,
辅导员工作手册,https://stuhome.ustc.edu.cn/_upload/article/files/69/e3/5677d6a34dfeb01dbc1c974e7bac/99734540-be68-437e-99e0-2b607bc53f1e.doc,2015-07-02,学工在线,,
班主任工作手册,https://stuhome.ustc.edu.cn/_upload/article/files/78/be/4e30b60249ed9dacc2c4870e6023/9eb8990f-b79e-4f42-95d5-d6689447ef5f.doc,2015-07-02,学工在线,,
勤工助学岗位设置申请表,https://stuhome.ustc.edu.cn/_upload/article/files/b0/35/a8b1d1a04d938281a7b461564269/54ef2511-b8a4-46bb-9029-4f32ccbee746.xlsx,2015-07-02,学工在线,,
关于在全校各班集体中设置安全委员的通知（学字【2010】36号）,https://stuhome.ustc.edu.cn/_upload/article/files/cb/97/29f37f894a61a97e876fb7a40485/53396ecb-7492-43c5-bf24-17ddc24c1653.doc,2015-07-02,学工在线,,
勤工助学上岗登记表,https://stuhome.ustc.edu.cn/_upload/article/files/3a/ec/f7e97d1f4f8085301dee71760f4a/c7e627dc-9a39-4ff3-aedc-87d3c763ffd0.xls,2015-07-02,学工在线,,
勤工助学上岗申请表,https://stuhome.ustc.edu.cn/_upload/article/files/a7/99/2ac899b148dd8f8faa5d67060b61/588384f5-c8ee-4a80-8bcd-eecc95d91ba2.doc,2015-07-02,学工在线,,
施工进度计划表,https://bwc.ustc.edu.cn/2023/0725/c5655a609378/page.htm,2023-07-25,保卫与校园管理处,,
施工责任书,https://bwc.ustc.edu.cn/2023/0725/c5655a609377/page.htm,2023-07-25,保卫与校园管理处,,
动火作业申请表,https://bwc.ustc.edu.cn/2023/0725/c5655a609376/page.htm,2023-07-25,保卫与校园管理处,,
